,time,temperature,humidity,precipitation,surface_pressure
0,2022-01-01T00:00,18.2,91,0.3,908.1
1,2022-01-01T01:00,18.4,92,2.0,908.8
2,2022-01-01T02:00,18.7,91,2.1,908.6
3,2022-01-01T03:00,18.6,91,2.0,908.0
4,2022-01-01T04:00,18.6,92,2.2,907.4
5,2022-01-01T05:00,18.6,91,0.1,907.1
6,2022-01-01T06:00,18.0,94,0.3,906.9
7,2022-01-01T07:00,17.9,95,1.0,907.2
8,2022-01-01T08:00,18.2,93,1.6,907.3
9,2022-01-01T09:00,18.4,92,0.5,907.8
10,2022-01-01T10:00,19.3,90,0.3,909.0
11,2022-01-01T11:00,20.3,86,0.0,909.7
12,2022-01-01T12:00,19.6,87,0.0,910.5
13,2022-01-01T13:00,21.1,79,0.1,910.8
14,2022-01-01T14:00,23.9,64,0.1,910.9
15,2022-01-01T15:00,24.5,61,0.1,910.1
16,2022-01-01T16:00,24.3,61,0.0,909.3
17,2022-01-01T17:00,25.4,60,0.0,908.8
18,2022-01-01T18:00,23.4,67,0.2,908.2
19,2022-01-01T19:00,24.2,65,0.2,908.1
20,2022-01-01T20:00,22.6,75,0.9,908.1
21,2022-01-01T21:00,21.6,80,0.0,908.6
22,2022-01-01T22:00,19.9,90,0.3,909.4
23,2022-01-01T23:00,19.3,94,0.7,910.1
24,2022-01-02T00:00,19.3,90,0.9,910.3
25,2022-01-02T01:00,18.7,93,1.0,910.8
26,2022-01-02T02:00,18.4,97,2.3,911.4
27,2022-01-02T03:00,18.4,96,1.8,910.6
28,2022-01-02T04:00,18.2,95,1.3,910.2
29,2022-01-02T05:00,18.0,95,0.8,909.5
30,2022-01-02T06:00,18.0,95,1.4,909.4
31,2022-01-02T07:00,18.0,96,1.2,909.7
32,2022-01-02T08:00,18.0,97,1.0,910.0
33,2022-01-02T09:00,17.8,96,0.7,910.5
34,2022-01-02T10:00,18.3,96,0.1,911.2
35,2022-01-02T11:00,19.1,94,0.7,912.0
36,2022-01-02T12:00,21.9,83,0.7,912.6
37,2022-01-02T13:00,22.5,78,0.1,912.7
38,2022-01-02T14:00,22.8,78,0.6,912.2
39,2022-01-02T15:00,22.8,75,1.0,911.3
40,2022-01-02T16:00,22.6,80,2.0,910.4
41,2022-01-02T17:00,25.9,66,0.2,910.0
42,2022-01-02T18:00,21.5,86,6.0,909.2
43,2022-01-02T19:00,21.6,88,0.7,908.6
44,2022-01-02T20:00,22.6,85,0.2,908.9
45,2022-01-02T21:00,21.5,89,5.3,909.0
46,2022-01-02T22:00,19.7,95,3.0,909.9
47,2022-01-02T23:00,19.5,94,2.6,910.6
48,2022-01-03T00:00,19.5,95,5.3,910.6
49,2022-01-03T01:00,18.8,96,4.1,911.4
50,2022-01-03T02:00,19.1,95,0.5,911.3
51,2022-01-03T03:00,18.5,95,9.6,910.7
52,2022-01-03T04:00,18.6,96,3.2,910.3
53,2022-01-03T05:00,18.7,96,2.0,910.0
54,2022-01-03T06:00,18.6,98,2.2,909.7
55,2022-01-03T07:00,18.4,100,2.1,909.8
56,2022-01-03T08:00,18.3,99,1.9,909.8
57,2022-01-03T09:00,18.4,97,0.9,910.3
58,2022-01-03T10:00,19.3,95,0.0,910.8
59,2022-01-03T11:00,20.8,86,0.1,911.3
60,2022-01-03T12:00,22.5,79,0.0,911.7
61,2022-01-03T13:00,23.1,77,0.0,911.5
62,2022-01-03T14:00,24.6,72,0.1,911.4
63,2022-01-03T15:00,25.3,68,0.1,910.4
64,2022-01-03T16:00,25.4,66,0.1,909.3
65,2022-01-03T17:00,23.1,80,2.6,908.6
66,2022-01-03T18:00,24.7,74,0.2,908.2
67,2022-01-03T19:00,25.2,70,0.1,907.5
68,2022-01-03T20:00,23.4,78,1.3,907.3
69,2022-01-03T21:00,20.7,91,5.5,907.9
70,2022-01-03T22:00,20.1,93,2.0,908.1
71,2022-01-03T23:00,20.1,94,1.1,908.5
72,2022-01-04T00:00,19.3,96,3.8,909.1
73,2022-01-04T01:00,19.3,95,0.1,909.5
74,2022-01-04T02:00,19.1,95,0.5,909.6
75,2022-01-04T03:00,19.0,95,0.1,908.9
76,2022-01-04T04:00,18.7,96,0.4,908.7
77,2022-01-04T05:00,18.3,97,1.4,908.4
78,2022-01-04T06:00,18.5,97,4.7,908.2
79,2022-01-04T07:00,18.5,97,0.4,907.9
80,2022-01-04T08:00,18.9,95,0.2,907.8
81,2022-01-04T09:00,19.2,93,0.1,908.2
82,2022-01-04T10:00,20.2,91,0.0,908.7
83,2022-01-04T11:00,21.4,83,0.2,909.2
84,2022-01-04T12:00,22.3,80,0.1,910.2
85,2022-01-04T13:00,22.4,80,1.2,910.5
86,2022-01-04T14:00,21.1,87,0.4,909.8
87,2022-01-04T15:00,22.5,80,0.5,909.5
88,2022-01-04T16:00,21.8,86,1.7,908.6
89,2022-01-04T17:00,22.0,87,1.4,908.2
90,2022-01-04T18:00,22.4,83,0.5,907.4
91,2022-01-04T19:00,23.0,78,0.1,906.9
92,2022-01-04T20:00,22.8,78,1.3,906.8
93,2022-01-04T21:00,21.9,85,1.1,907.1
94,2022-01-04T22:00,21.1,88,0.2,907.1
95,2022-01-04T23:00,20.1,91,1.3,907.8
96,2022-01-05T00:00,19.3,95,2.7,907.9
97,2022-01-05T01:00,19.8,93,0.3,908.4
98,2022-01-05T02:00,19.5,93,1.1,908.4
99,2022-01-05T03:00,19.3,93,1.6,907.9
100,2022-01-05T04:00,19.2,93,1.6,907.3
101,2022-01-05T05:00,19.3,95,1.0,906.7
102,2022-01-05T06:00,19.3,95,1.6,906.0
103,2022-01-05T07:00,19.3,95,1.3,906.3
104,2022-01-05T08:00,19.3,93,1.0,906.2
105,2022-01-05T09:00,19.3,93,0.2,906.7
106,2022-01-05T10:00,19.8,92,0.1,907.5
107,2022-01-05T11:00,20.1,91,0.2,908.3
108,2022-01-05T12:00,21.2,88,0.1,908.8
109,2022-01-05T13:00,23.0,79,0.2,909.0
110,2022-01-05T14:00,23.8,73,0.0,908.5
111,2022-01-05T15:00,24.9,67,0.1,908.1
112,2022-01-05T16:00,21.8,85,1.4,907.7
113,2022-01-05T17:00,22.9,82,0.4,907.3
114,2022-01-05T18:00,22.5,84,0.3,906.5
115,2022-01-05T19:00,23.5,80,0.1,906.2
116,2022-01-05T20:00,22.4,83,1.9,906.1
117,2022-01-05T21:00,20.5,94,4.7,906.2
118,2022-01-05T22:00,20.3,93,2.4,906.4
119,2022-01-05T23:00,20.2,94,0.1,907.0
120,2022-01-06T00:00,20.1,93,0.7,907.8
121,2022-01-06T01:00,19.6,95,4.7,908.0
122,2022-01-06T02:00,19.2,96,1.1,908.2
123,2022-01-06T03:00,19.1,95,0.3,907.5
124,2022-01-06T04:00,18.7,97,0.8,907.0
125,2022-01-06T05:00,18.7,97,2.5,906.4
126,2022-01-06T06:00,18.7,97,1.6,905.8
127,2022-01-06T07:00,18.7,98,2.0,906.3
128,2022-01-06T08:00,18.8,97,1.0,906.2
129,2022-01-06T09:00,18.9,96,0.0,906.7
130,2022-01-06T10:00,19.3,95,1.0,907.7
131,2022-01-06T11:00,19.6,93,0.3,907.8
132,2022-01-06T12:00,20.6,91,0.3,908.5
133,2022-01-06T13:00,21.1,90,1.1,909.0
134,2022-01-06T14:00,21.8,88,0.4,908.7
135,2022-01-06T15:00,24.3,77,0.2,908.4
136,2022-01-06T16:00,20.6,89,1.5,907.6
137,2022-01-06T17:00,23.0,83,0.2,907.3
138,2022-01-06T18:00,24.9,73,0.1,906.7
139,2022-01-06T19:00,21.9,85,2.4,906.2
140,2022-01-06T20:00,22.2,83,0.1,906.3
141,2022-01-06T21:00,22.2,82,0.2,906.4
142,2022-01-06T22:00,20.1,95,1.4,906.7
143,2022-01-06T23:00,19.9,96,2.4,907.8
144,2022-01-07T00:00,19.5,95,0.9,907.9
145,2022-01-07T01:00,19.3,97,1.8,908.6
146,2022-01-07T02:00,19.0,98,0.1,908.5
147,2022-01-07T03:00,18.9,97,0.1,908.0
148,2022-01-07T04:00,18.7,98,0.1,907.4
149,2022-01-07T05:00,18.5,98,0.1,906.9
150,2022-01-07T06:00,18.2,99,0.0,906.3
151,2022-01-07T07:00,18.3,98,0.0,906.2
152,2022-01-07T08:00,18.5,98,0.0,906.5
153,2022-01-07T09:00,18.7,97,0.0,907.0
154,2022-01-07T10:00,19.3,94,0.0,907.9
155,2022-01-07T11:00,19.7,92,0.2,908.4
156,2022-01-07T12:00,21.1,85,0.4,909.1
157,2022-01-07T13:00,21.6,82,0.1,909.3
158,2022-01-07T14:00,23.5,75,0.1,909.6
159,2022-01-07T15:00,23.9,71,0.1,909.0
160,2022-01-07T16:00,23.9,71,0.1,908.3
161,2022-01-07T17:00,20.8,87,2.4,907.9
162,2022-01-07T18:00,21.0,87,0.4,907.1
163,2022-01-07T19:00,20.9,89,1.4,907.3
164,2022-01-07T20:00,20.7,90,2.5,907.3
165,2022-01-07T21:00,20.2,88,3.8,907.5
166,2022-01-07T22:00,19.4,90,2.7,907.7
167,2022-01-07T23:00,19.1,91,0.7,908.1
168,2022-01-08T00:00,18.8,90,0.3,908.5
169,2022-01-08T01:00,18.6,92,0.5,909.0
170,2022-01-08T02:00,18.4,93,1.2,908.7
171,2022-01-08T03:00,18.2,94,0.1,908.3
172,2022-01-08T04:00,18.0,96,0.0,907.8
173,2022-01-08T05:00,18.0,97,0.0,907.4
174,2022-01-08T06:00,18.0,97,0.1,906.9
175,2022-01-08T07:00,17.9,97,0.1,906.7
176,2022-01-08T08:00,18.0,96,0.3,906.8
177,2022-01-08T09:00,18.1,95,0.1,907.4
178,2022-01-08T10:00,18.8,93,0.1,908.0
179,2022-01-08T11:00,19.3,91,0.0,908.6
180,2022-01-08T12:00,19.9,88,0.0,909.5
181,2022-01-08T13:00,21.8,82,0.1,910.0
182,2022-01-08T14:00,23.4,75,0.0,909.9
183,2022-01-08T15:00,24.0,71,0.1,909.5
184,2022-01-08T16:00,24.7,67,0.1,908.9
185,2022-01-08T17:00,26.0,60,0.0,907.8
186,2022-01-08T18:00,21.6,83,1.7,907.2
187,2022-01-08T19:00,21.0,85,2.9,907.2
188,2022-01-08T20:00,19.4,96,10.3,907.4
